number,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,sys_updated_at,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,closed_code,resolved_by,resolved_at,closed_at
INC0004359,Awaiting User Info,True,1,0,5,True,Caller 486,Opened by  59,8/3/2016 14:39,Created by 34,8/3/2016 14:42,Updated by 21,12/3/2016 09:56,Phone,Location 204,Category 40,Subcategory 43,?,?,2 - Medium,2 - Medium,3 - Moderate,?,Resolver 13,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 11,18/3/2016 10:54,24/3/2016 18:59
INC0004359,Awaiting User Info,True,1,0,6,True,Caller 486,Opened by  59,8/3/2016 14:39,Created by 34,8/3/2016 14:42,Updated by 214,12/3/2016 14:04,Phone,Location 204,Category 40,Subcategory 43,?,?,2 - Medium,2 - Medium,3 - Moderate,?,Resolver 13,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 11,18/3/2016 10:54,24/3/2016 18:59
INC0004359,Resolved,True,1,0,8,True,Caller 486,Opened by  59,8/3/2016 14:39,Created by 34,8/3/2016 14:42,Updated by 44,18/3/2016 10:54,Phone,Location 204,Category 40,Subcategory 43,?,?,2 - Medium,2 - Medium,3 - Moderate,?,Resolver 13,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 11,18/3/2016 10:54,24/3/2016 18:59
INC0004359,Closed,False,1,0,9,False,Caller 486,Opened by  59,8/3/2016 14:39,Created by 34,8/3/2016 14:42,Updated by 908,24/3/2016 18:59,Phone,Location 204,Category 40,Subcategory 43,?,?,2 - Medium,2 - Medium,3 - Moderate,?,Resolver 13,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 11,18/3/2016 10:54,24/3/2016 18:59
INC0004361,Active,True,0,0,0,True,Caller 93,Opened by  59,8/3/2016 14:43,Created by 34,8/3/2016 14:58,Updated by 135,8/3/2016 14:58,Phone,Location 161,Category 40,Subcategory 43,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 192,True,False,Do Not Notify,?,?,?,?,code 1,Resolved by 143,9/3/2016 14:33,24/3/2016 18:41
INC0004361,Active,True,0,0,1,True,Caller 93,Opened by  59,8/3/2016 14:43,Created by 34,8/3/2016 14:58,Updated by 131,8/3/2016 22:32,Phone,Location 161,Category 40,Subcategory 43,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 1,Resolved by 143,9/3/2016 14:33,24/3/2016 18:41
INC0004361,Active,True,1,0,2,True,Caller 93,Opened by  59,8/3/2016 14:43,Created by 34,8/3/2016 14:58,Updated by 746,9/3/2016 00:28,Phone,Location 161,Category 40,Subcategory 43,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 55,?,True,False,Do Not Notify,?,?,?,?,code 1,Resolved by 143,9/3/2016 14:33,24/3/2016 18:41
INC0004361,Active,True,2,0,3,True,Caller 93,Opened by  59,8/3/2016 14:43,Created by 34,8/3/2016 14:58,Updated by 364,9/3/2016 08:17,Phone,Location 161,Category 40,Subcategory 43,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 33,?,True,False,Do Not Notify,?,?,?,?,code 1,Resolved by 143,9/3/2016 14:33,24/3/2016 18:41
INC0004361,Resolved,True,2,0,4,True,Caller 93,Opened by  59,8/3/2016 14:43,Created by 34,8/3/2016 14:58,Updated by 614,9/3/2016 14:33,Phone,Location 161,Category 40,Subcategory 43,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 33,Resolver 159,True,False,Do Not Notify,?,?,?,?,code 1,Resolved by 143,9/3/2016 14:33,24/3/2016 18:41
INC0004361,Closed,False,2,0,5,False,Caller 93,Opened by  59,8/3/2016 14:43,Created by 34,8/3/2016 14:58,Updated by 908,24/3/2016 18:41,Phone,Location 161,Category 40,Subcategory 43,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 33,Resolver 159,True,False,Do Not Notify,?,?,?,?,code 1,Resolved by 143,9/3/2016 14:33,24/3/2016 18:41
